caller function,caller function defined,callee functions
getpar_1d_l,stdinp_mod.f90,
getpar_1d_r,stdinp_mod.f90,
gls_corstep_mod,gls_corstep.f90,
gls_prestep_mod,gls_prestep.f90,
grid_coords,grid_coords.f90,
gser,erf.f90,
hindices,interpolate.f90,
hmixing_mod,hmixing.f90,
i4dvar_mod,i4dvar.f90,
ini_adjust_mod,ini_adjust.f90,
ini_fields,ini_fields.f90,wclock_on, ini_fields_tile, wclock_off
ini_fields_mod,ini_fields.f90,
ini_fields_tile,ini_fields.f90,u3dbc_tile, v3dbc_tile, u3dbc_tile, v3dbc_tile, exchange_u3d_tile, exchange_v3d_tile, exchange_u3d_tile, exchange_v3d_tile, mp_exchange3d, u2dbc_tile, v2dbc_tile, u2dbc_tile, v2dbc_tile, exchange_u2d_tile, exchange_v2d_tile, exchange_u2d_tile, exchange_v2d_tile, mp_exchange2d, t3dbc_tile, t3dbc_tile, exchange_r3d_tile, exchange_r3d_tile, mp_exchange4d
ini_hmixcoef,ini_hmixcoef.f90,ini_hmixcoef_tile
ini_hmixcoef_mod,ini_hmixcoef.f90,
ini_hmixcoef_tile,ini_hmixcoef.f90,exchange_r2d_tile, exchange_p2d_tile, exchange_r2d_tile, mp_exchange2d, mp_exchange3d
ini_lanczos_mod,ini_lanczos.f90,
ini_zeta,ini_fields.f90,wclock_on, ini_zeta_tile, wclock_off
ini_zeta_tile,ini_fields.f90,zetabc_tile, zetabc_tile, exchange_r2d_tile, exchange_r2d_tile, exchange_r2d_tile, mp_exchange2d, mp_exchange2d, exchange_r2d_tile, mp_exchange2d
initial,initial.f90,time_string, wclock_on, mpi_comm_rank, mpi_comm_size, mpi_comm_rank, mpi_comm_size, set_grid, mpi_comm_rank, mpi_comm_size, ini_hmixcoef, get_state, mp_bcasti, set_depth0, set_depth, set_massflux, omega, rho_eos, close_inp, check_multifile, mp_bcasti, get_idata, get_data, mp_bcasti, set_masks, nesting, nesting, nesting, nesting, nesting, stiffness, wclock_off
initialize_average,mod_average.f90,
initialize_boundary,mod_boundary.f90,
initialize_clima,mod_clima.f90,
initialize_coupling,mod_coupling.f90,
initialize_forces,mod_forces.f90,
initialize_grid,mod_grid.f90,
initialize_mixing,mod_mixing.f90,
initialize_ncparam,mod_ncparam.f90,
initialize_nesting,mod_nesting.f90,
initialize_ocean,mod_ocean.f90,
initialize_parallel,mod_parallel.f90,mpi_comm_size, mpi_comm_rank
initialize_param,mod_param.f90,
initialize_scalars,mod_scalars.f90,
initialize_tides,mod_tides.f90,
inner2state_mod,inner2state.f90,
inp_decode_mod,inp_decode.f90,
inp_par,inp_par.f90,get_date, mp_bcasts, my_getarg, mp_bcasts, read_PhyPar, mp_bcasti, set_contact, get_domain_edges, get_tile, get_bounds, get_bounds, get_bounds, get_bounds, get_bounds, get_bounds, get_bounds, get_bounds, get_bounds, get_iobounds, get_bounds, get_domain, get_bounds, get_domain, get_bounds, get_domain, mp_bcasti, tadv_report, lbc_report, checkdefs, my_flush, mp_bcasti, mp_bcasts, ran_seed
inp_par_mod,inp_par.f90,
inquiry,inquiry.f90,netcdf_close, netcdf_open, netcdf_check_dim, netcdf_inq_var, get_cycle, netcdf_close, netcdf_open, netcdf_get_time
interp_floats_mod,interp_floats.f90,
interpolate_mod,interpolate.f90,
join_string,strings.f90,
lanc_resid_mod,lanc_resid.f90,
lbc_getatt,lbc.f90,mp_bcasti, mp_bcasts
lbc_putatt,lbc.f90,
lbc_report,lbc.f90,
linterp2d,interpolate.f90,
lmd_bkpp,lmd_bkpp.f90,lmd_bkpp_tile
lmd_bkpp_mod,lmd_bkpp.f90,
lmd_bkpp_tile,lmd_bkpp.f90,lmd_swfrac_tile, lmd_swfrac_tile, bc_r2d_tile, mp_exchange2d, lmd_swfrac_tile
lmd_finish,lmd_vmix.f90,lmd_finish_tile
lmd_finish_tile,lmd_vmix.f90,bc_w3d_tile, bc_w3d_tile, mp_exchange3d, mp_exchange4d
lmd_skpp,lmd_skpp.f90,lmd_skpp_tile
lmd_skpp_mod,lmd_skpp.f90,
lmd_skpp_tile,lmd_skpp.f90,lmd_swfrac_tile, lmd_swfrac_tile, bc_r2d_tile, mp_exchange2d, lmd_swfrac_tile
lmd_swfrac_tile,lmd_swfrac.f90,
lmd_vmix,lmd_vmix.f90,wclock_on, lmd_vmix_tile, lmd_skpp, lmd_bkpp, lmd_finish, wclock_off
lmd_vmix_mod,lmd_vmix.f90,
lmd_vmix_tile,lmd_vmix.f90,
load_0d_i,inp_decode.f90,
load_0d_l,inp_decode.f90,
load_0d_r8,inp_decode.f90,
load_1d_i,inp_decode.f90,
load_1d_l,inp_decode.f90,
load_1d_r8,inp_decode.f90,
load_2d_i,inp_decode.f90,
load_2d_l,inp_decode.f90,
load_2d_r8,inp_decode.f90,
load_3d_i,inp_decode.f90,
load_3d_l,inp_decode.f90,
load_3d_r8,inp_decode.f90,
load_lbc,inp_decode.f90,
load_s1d1,inp_decode.f90,
load_s1d2,inp_decode.f90,
load_s2d,inp_decode.f90,
load_tadv,inp_decode.f90,
lowercase,strings.f90,
lubksb,lubksb.f90,
ludcmp,ludcmp.f90,
main2d,main2d.f90,
main3d,main3d.f90,MPI_COMM_RANK, MPI_COMM_SIZE, ntimesteps, time_string, get_data, set_data, ini_zeta, set_depth, ini_fields, nesting, set_massflux, rho_eos, diag, bulk_flux, set_vbc, set_tides, nesting, lmd_vmix, omega, wvelocity, set_zeta, set_avg, nesting, output, nesting, rhs3d, nesting, step2d, nesting, nesting, step2d, nesting, nesting, nesting, set_depth, nesting, step3d_uv, nesting, omega, step3d_t, nesting, nesting, nesting
mask_hweights,nesting.f90,mp_assemble, mp_assemble, mp_assemble
memory,memory.f90,mp_collect, mp_collect
metrics,metrics.f90,metrics_tile
metrics_mod,metrics.f90,
metrics_tile,metrics.f90,exchange_r2d_tile, exchange_r2d_tile, exchange_r2d_tile, exchange_r2d_tile, mp_exchange2d, exchange_r2d_tile, exchange_r2d_tile, mp_exchange2d, exchange_u2d_tile, exchange_u2d_tile, exchange_u2d_tile, exchange_u2d_tile, mp_exchange2d, exchange_v2d_tile, exchange_v2d_tile, exchange_v2d_tile, exchange_v2d_tile, mp_exchange2d, exchange_p2d_tile, exchange_p2d_tile, exchange_p2d_tile, exchange_p2d_tile, mp_exchange2d, exchange_p2d_tile, mp_exchange2d, exchange_r2d_tile, exchange_r2d_tile, mp_exchange2d, exchange_r2d_tile, mp_exchange2d, set_depth_tile, mp_reduce
mod_arrays,mod_arrays.f90,wclock_on, allocate_average, allocate_boundary, allocate_clima, allocate_coupling, allocate_forces, allocate_grid, allocate_mixing, allocate_ocean, allocate_tides, allocate_sources, allocate_nesting, initialize_nesting, initialize_average, initialize_boundary, initialize_clima, initialize_coupling, initialize_forces, initialize_grid, initialize_mixing, initialize_ocean, initialize_tides, wclock_off
mod_average,mod_average.f90,
mod_bbl,mod_bbl.f90,
mod_behavior,mod_behavior.f90,
mod_biology,mod_biology.f90,
mod_boundary,mod_boundary.f90,
mod_clima,mod_clima.f90,
mod_coupler,mod_coupler.f90,
mod_coupling,mod_coupling.f90,
mod_diags,mod_diags.f90,
mod_eclight,mod_eclight.f90,
mod_eoscoef,mod_eoscoef.f90,
mod_floats,mod_floats.f90,
mod_forces,mod_forces.f90,
mod_fourdvar,mod_fourdvar.f90,
mod_grid,mod_grid.f90,
mod_iounits,mod_iounits.f90,
mod_kinds,mod_kinds.f90,
mod_mixing,mod_mixing.f90,
mod_ncparam,mod_ncparam.f90,
mod_nesting,mod_nesting.f90,
mod_netcdf,mod_netcdf.f90,
mod_ocean,mod_ocean.f90,
mod_parallel,mod_parallel.f90,
mod_param,mod_param.f90,
mod_scalars,mod_scalars.f90,
mod_sedbed,mod_sedbed.f90,
mod_sediment,mod_sediment.f90,
mod_sources,mod_sources.f90,
mod_stepping,mod_stepping.f90,
mod_storage,mod_storage.f90,
mod_strings,mod_strings.f90,
mod_tides,mod_tides.f90,
mp_aggregate2d,distribute.f90,wclock_on, mpi_allgather, mpi_error_string, wclock_off
mp_aggregate3d,distribute.f90,wclock_on, mpi_allgather, mpi_error_string, wclock_off
mp_assemblef_1d,distribute.f90,wclock_on, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mpi_bcast, mpi_error_string, wclock_off
mp_assemblef_2d,distribute.f90,wclock_on, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mpi_bcast, mpi_error_string, wclock_off
mp_assemblef_3d,distribute.f90,wclock_on, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mpi_bcast, mpi_error_string, wclock_off
mp_assemblei_1d,distribute.f90,wclock_on, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mpi_bcast, mpi_error_string, wclock_off
mp_assemblei_2d,distribute.f90,wclock_on, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mpi_bcast, mpi_error_string, wclock_off
mp_barrier,distribute.f90,wclock_on, mpi_barrier, wclock_off
mp_bcast_struc,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, mpi_bcast, mpi_error_string, mpi_bcast, mpi_error_string, mpi_bcast, mpi_error_string, mpi_bcast, mpi_error_string, mpi_bcast, mpi_error_string, mpi_bcast, mpi_error_string, wclock_off
mp_bcastf_0d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcastf_1d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcastf_2d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcastf_3d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcastf_4d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcasti_0d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcasti_1d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcasti_2d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcastl_0d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcastl_1d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcastl_2d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcasts_0d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcasts_1d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcasts_2d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_bcasts_3d,distribute.f90,wclock_on, mpi_bcast, mpi_error_string, wclock_off
mp_boundary,distribute.f90,wclock_on, mpi_allreduce, mpi_error_string, wclock_off
mp_collect_f,distribute.f90,wclock_on, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mpi_bcast, mpi_error_string, wclock_off
mp_collect_i,distribute.f90,wclock_on, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mpi_bcast, mpi_error_string, wclock_off
mp_dump,distribute.f90,my_flush, my_flush, my_flush
mp_exchange2d,mp_exchange.f90,wclock_on, tile_neighbors, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, wclock_off
mp_exchange2d_bry,mp_exchange.f90,wclock_on, tile_neighbors, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, wclock_off
mp_exchange3d,mp_exchange.f90,wclock_on, tile_neighbors, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, wclock_off
mp_exchange3d_bry,mp_exchange.f90,wclock_on, tile_neighbors, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, wclock_off
mp_exchange4d,mp_exchange.f90,wclock_on, tile_neighbors, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, mpi_irecv, mpi_irecv, mpi_send, mpi_send, mpi_wait, mpi_error_string, mpi_wait, mpi_error_string, wclock_off
mp_exchange_mod,mp_exchange.f90,
mp_gather2d,distribute.f90,wclock_on, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, wclock_off
mp_gather3d,distribute.f90,wclock_on, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, wclock_off
mp_gather_state,distribute.f90,wclock_on, mpi_allgather, mpi_error_string, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mpi_bcast, mpi_error_string, wclock_off
mp_ncread1d,distribute.f90,wclock_on, mpi_allgather, mpi_error_string, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mp_bcasti, wclock_off
mp_ncread2d,distribute.f90,wclock_on, mpi_allgather, mpi_error_string, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mp_bcasti, wclock_off
mp_ncwrite1d,distribute.f90,wclock_on, mpi_allgather, mpi_error_string, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mp_bcasti, wclock_off
mp_ncwrite2d,distribute.f90,wclock_on, mpi_allgather, mpi_error_string, mpi_irecv, mpi_wait, mpi_error_string, mpi_isend, mpi_wait, mpi_error_string, mp_bcasti, wclock_off
mp_reduce2,distribute.f90,wclock_on, mpi_allreduce, mpi_error_string, wclock_off
mp_reduce_0d,distribute.f90,wclock_on, mpi_allreduce, mpi_error_string, wclock_off
